,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,road_conditions,participants_count,participant_categories,geometry,participant_role,participant_gender,participant_violations,participant_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,status_role,status_gender,status_violations,status_health_status,status_years_of_driving_experience
10,2540528,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.511841, 'long': 44.585953}","[ ""Многоквартирные жилые дома"", ""Регулируемый перекресток"", ""Регулируемый пешеходный переход"" ]",Малгобекский район,300.0,"г Малгобек, ул Осканова, 12",['Ясно'],Столкновение,2021-01-27 10:10:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.585953 43.511841),,,,,2007.0,CHEVROLET,Серый,Lanos,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"[""Uknown""]",Не пострадал,9.0
11,2540531,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.49546, 'long': 44.581382}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,720.0,"г Малгобек, ул Осканова, 114",['Ясно'],Наезд на пешехода,2021-01-24 17:50:00,Легкий,0,1,Республика Ингушетия,"['Неисправное освещение', 'Сухое', 'Отсутствие, плохая различимость горизонтальной разметки проезжей части', 'Неправильное применение, плохая видимость дорожных знаков']",2,"['Все участники', 'Пешеходы']",POINT (44.581382 43.49546),Пешеход,Женский,,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",2011.0,FORD,Серый,Mondeo,"D-класс (средний) до 4,6 м",Водитель,Мужской,['Нарушение правил проезда пешеходного перехода'],Не пострадал,3.0
12,2540532,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.509958, 'long': 44.582273}","[ ""Многоквартирные жилые дома"", ""Нерегулируемый перекрёсток равнозначных улиц (дорог)"" ]",Малгобекский район,500.0,"г Малгобек, пер Базоркина, 58",['Ясно'],Столкновение,2021-01-22 14:55:00,Легкий,0,2,Республика Ингушетия,"['Сухое', 'Отсутствие, плохая различимость горизонтальной разметки проезжей части']",3,['Все участники'],POINT (44.582273 43.509958),,,,,2004.0,ВАЗ,Синий," Жигули  ВАЗ-2108, 09 и модификации                       ","А-класс (особо малый) до 3,5 м",Водитель,Мужской,"['Несоблюдение очередности проезда', 'Несоблюдение требований ОСАГО', 'Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут пассажир)']","Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",10.0
13,2540536,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.518711, 'long': 44.585277}","[ ""Жилые дома индивидуальной застройки"", ""АЗС"" ]",Малгобекский район,940.0,"г Малгобек, ул Осканова, 1",['Пасмурно'],Наезд на препятствие,2021-01-08 23:10:00,Легкий,0,1,Республика Ингушетия,"['Сухое', 'Отсутствие освещения']",2,['Все участники'],POINT (44.585277 43.518711),,,,,2014.0,KIA,Серый,Rio,"D-класс (средний) до 4,6 м",Пассажир,Мужской,"[""Uknown""]","Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",
14,2548813,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.512487, 'long': 44.595416}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"", ""Иной объект"", ""Тротуар, пешеходная дорожка"" ]",Малгобекский район,,"г Малгобек, ул Промышленная, 2",['Пасмурно'],Съезд с дороги,2021-02-17 01:15:00,Тяжёлый,0,1,Республика Ингушетия,"['Неисправное освещение', 'Отсутствие дорожных знаков в необходимых местах', 'Заснеженное']",1,['Все участники'],POINT (44.595416 43.512487),,,,,2010.0,ВАЗ,Белый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,"['Несоответствие скорости конкретным условиям движения', 'Управление ТС в состоянии алкогольного опьянения', 'Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут водитель)', 'Несоблюдение требований ОСАГО']","Раненый, находящийся (находившийся) на стационарном лечении",20.0
15,2548808,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Сумерки,"{'lat': 43.522912, 'long': 44.53042}","[""Uknown""]",Малгобекский район,140.0,"Назрань-Малгобек-Н. Курп-Терек, 64 км",['Пасмурно'],Столкновение,2021-02-14 17:00:00,Тяжёлый,0,2,Республика Ингушетия,['Сухое'],4,"['Все участники', 'Дети']",POINT (44.53042 43.522912),,,,,1996.0,ВАЗ,Серый, Жигули  ВАЗ-2106 модификации,"В-класс (малый) до 3,9 м",Пассажир,Женский,"[""Uknown""]","Раненый, находящийся (находившийся) на стационарном лечении",
16,2643239,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.543291, 'long': 44.74225}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,610.0,"ст-ца Вознесенская, ул Шоссейная, 15",['Ясно'],Съезд с дороги,2021-10-23 16:25:00,С погибшими,1,1,Республика Ингушетия,"['Сухое', 'Отсутствие дорожных знаков в необходимых местах', 'Неудовлетворительное состояние обочин']",2,['Все участники'],POINT (44.74225 43.543291),,,,,2008.0,ВАЗ,Серый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Женский,"['Превышение установленной скорости движения', 'Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']",Скончался в течение 4 суток,
17,2718967,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.506931, 'long': 44.584483}","[ ""Многоквартирные жилые дома"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,740.0,"г Малгобек, ул Осканова, 19",['Пасмурно'],Наезд на пешехода,2022-01-13 13:10:00,Тяжёлый,0,2,Республика Ингушетия,"['Мокрое', 'Отсутствие дорожных знаков в необходимых местах']",4,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.584483 43.506931),Пешеход,Женский,,"Раненый, находящийся (находившийся) на стационарном лечении",2013.0,ВАЗ,Белый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,['Непредоставление преимущества в движении пешеходу'],Не пострадал,33.0
18,2760178,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.508472, 'long': 44.59224}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток равнозначных улиц (дорог)"" ]",Малгобекский район,500.0,"г Малгобек, ул Херсонская, 11",['Пасмурно'],Столкновение,2022-09-19 15:20:00,Легкий,0,2,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.59224 43.508472),,,,,2015.0,ВАЗ,Серый,Priora,"В-класс (малый) до 3,9 м",Водитель,Мужской,"['Несоблюдение очередности проезда', 'Несоблюдение требований ОСАГО']",Не пострадал,10.0
19,2760184,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.526553, 'long': 44.785466}","[""Uknown""]",Малгобекский район,600.0,,['Ясно'],Опрокидывание,2022-09-12 13:00:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],1,['Все участники'],POINT (44.785466 43.526553),,,,,1991.0,ГАЗ,Синий,"33023, 330232, 330273 и модификации",Цистерны,Водитель,Мужской,['Несоответствие скорости конкретным условиям движения'],"Раненый, находящийся (находившийся) на стационарном лечении",38.0
20,2760186,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.579956, 'long': 44.58385}","[""Uknown""]",Малгобекский район,900.0,"с Вежарий, Малгобек-с. Вежарий-юрт, 5 км",['Ясно'],Наезд на животное,2022-09-10 20:00:00,Легкий,0,1,Республика Ингушетия,['Сухое'],3,['Все участники'],POINT (44.58385 43.579956),,,,,2011.0,ВАЗ,Серый,Kalina,"В-класс (малый) до 3,9 м",Пассажир,Женский,"[""Uknown""]",Не пострадал,
21,2784492,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.491818, 'long': 44.598527}","[ ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"" ]",Малгобекский район,820.0,"с Сагопши, ул Исламская, 11",['Ясно'],Наезд на пешехода,2022-11-24 17:50:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],2,"['Все участники', 'Пешеходы']",POINT (44.598527 43.491818),Пешеход,Женский,['Неожиданный выход из-за стоящего ТС'],"Раненый, находящийся (находившийся) на стационарном лечении",2015.0,ГАЗ,Белый,"ГАЗ 3102, 3102-101, 3102-311",Фургоны,Водитель,Мужской,"['Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']",Не пострадал,
22,2784494,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479768, 'long': 44.731607}","[ ""Мост, эстакада, путепровод"" ]",Малгобекский район,900.0,"Назрань-Малгобек-Н. Курп-Терек, 42 км",['Ясно'],Наезд на животное,2022-11-22 17:20:00,Тяжёлый,0,2,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.731607 43.479768),,,,,1994.0,MERCEDES,Красный,E-класс,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"[""Uknown""]","Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",
23,2784497,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.47976, 'long': 44.808007}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,800.0,"Зязиков-Юрт-Гарагорск, 3 км",['Ясно'],Наезд на пешехода,2022-11-17 12:10:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],2,"['Все участники', 'Пешеходы']",POINT (44.808007 43.47976),Пешеход,Мужской,['Неожиданный выход из-за стоящего ТС'],"Раненый, находящийся (находившийся) на стационарном лечении",2008.0,TOYOTA,Черный,Corolla,"В-класс (малый) до 3,9 м",Водитель,Мужской,"[""Uknown""]",Не пострадал,16.0
24,2784500,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.478413, 'long': 44.609513}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"" ]",Малгобекский район,610.0,"с Сагопши, ул Грозненская, 17",['Ясно'],Съезд с дороги,2022-11-16 08:05:00,Тяжёлый,0,1,Республика Ингушетия,['Мокрое'],1,['Все участники'],POINT (44.609513 43.478413),,,,,2004.0,ВАЗ,Серый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"['Нарушение правил расположения ТС на проезжей части', 'Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']","Раненый, находящийся (находившийся) на стационарном лечении",
25,2784503,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.488167, 'long': 44.622163}","[ ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"" ]",Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 55 км",['Ясно'],Столкновение,2022-11-12 21:30:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],2,['Все участники'],POINT (44.622163 43.488167),,,,,2009.0,ЗАЗ,Красный,ЗАЗ Sens,"В-класс (малый) до 3,9 м",Водитель,Мужской,['Неправильный выбор дистанции'],"Раненый, находящийся (находившийся) на стационарном лечении",39.0
26,2784504,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.506674, 'long': 44.584483}","[ ""Многоквартирные жилые дома"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,740.0,"г Малгобек, ул Осканова, 2",['Ясно'],Наезд на пешехода,2022-11-07 12:45:00,Тяжёлый,0,1,Республика Ингушетия,"['Сухое', 'Отсутствие дорожных знаков в необходимых местах']",2,"['Все участники', 'Пешеходы']",POINT (44.584483 43.506674),Пешеход,Мужской,,"Раненый, находящийся (находившийся) на стационарном лечении",2012.0,ГАЗ,Синий,"2705  Газель , 27057 и модификации",Фургоны,Водитель,Мужской,"['Нарушение правил проезда пешеходного перехода', 'Превышение установленной скорости движения']",Не пострадал,1.0
27,2784505,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.478538, 'long': 44.626744}","[""Uknown""]",Малгобекский район,610.0,"Малгобек-Сагопши, 5 км",['Пасмурно'],Съезд с дороги,2022-11-06 18:30:00,С погибшими,1,0,Республика Ингушетия,['Сухое'],1,['Все участники'],POINT (44.626744 43.478538),,,,,2006.0,ГАЗ,Серый,"ГАЗ 3105, 31052","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"['Несоответствие скорости конкретным условиям движения', 'Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут водитель)']",Скончался в течение 1 суток,22.0
28,2784506,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.47969, 'long': 44.788674}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"" ]",Малгобекский район,120.0,"Зязиков-Юрт-Гарагорск, 1 км",['Дождь'],Столкновение,2022-11-03 19:40:00,Тяжёлый,0,4,Республика Ингушетия,['Мокрое'],6,['Все участники'],POINT (44.788674 43.47969),,,,,2014.0,TOYOTA,Черный,Camry,Прочие легковые автомобили,Пассажир,Женский,"[""Uknown""]","Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",
29,2784507,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.50462, 'long': 44.583914}","[ ""Административные здания"" ]",Малгобекский район,70.0,"г Малгобек, Малгобек-Сагопши, 1 км",['Пасмурно'],Столкновение,2022-11-01 09:20:00,Легкий,0,2,Республика Ингушетия,['Мокрое'],2,['Все участники'],POINT (44.583914 43.50462),,,,,2008.0,ВАЗ,Зеленый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"['Неправильный выбор дистанции', 'Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']","Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",
30,2667915,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.502963, 'long': 44.583453}","[ ""АЗС"", ""Регулируемый перекресток"", ""Регулируемый пешеходный переход"", ""Спортивные и развлекательные объекты"" ]",Малгобекский район,500.0,"г Малгобек, ул Физкультурная, 1",['Пасмурно'],Столкновение,2021-12-14 11:15:00,Тяжёлый,0,5,Республика Ингушетия,['Мокрое'],6,"['Все участники', 'Дети']",POINT (44.583453 43.502963),,,,,2008.0,ГАЗ,Белый,"3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Фургоны,Водитель,Мужской,"[""Uknown""]",Не пострадал,40.0
